id,name,field,get_pv,set_pv
639,SR07A-PC-VSTR-04,a0,SR07A-PC-VSTR-04:I,SR07A-PC-VSTR-04:SETI
639,SR07A-PC-VSTR-04,v_fofb_disabled,SR07A-PC-VSTR-04:FAST:DISABLED,
639,SR07A-PC-VSTR-04,v_sofb_disabled,SR07A-PC-VSTR-04:SLOW:DISABLED,
642,SR07A-PC-Q1AB-06,b1,SR07A-PC-Q1AB-06:I,SR07A-PC-Q1AB-06:SETI
645,SR07A-PC-S2A-05,b2,SR07A-PC-S2A-05:I,SR07A-PC-S2A-05:SETI
645,SR07A-PC-HSTR-05,b0,SR07A-PC-HSTR-05:I,SR07A-PC-HSTR-05:SETI
645,SR07A-PC-HSTR-05,h_fofb_disabled,SR07A-PC-HSTR-05:FAST:DISABLED,
645,SR07A-PC-HSTR-05,h_sofb_disabled,SR07A-PC-HSTR-05:SLOW:DISABLED,
645,SR07A-PC-VSTR-05,a0,SR07A-PC-VSTR-05:I,SR07A-PC-VSTR-05:SETI
645,SR07A-PC-VSTR-05,v_fofb_disabled,SR07A-PC-VSTR-05:FAST:DISABLED,
645,SR07A-PC-VSTR-05,v_sofb_disabled,SR07A-PC-VSTR-05:SLOW:DISABLED,
648,SR07A-PC-Q2AB-07,b1,SR07A-PC-Q2AB-07:I,SR07A-PC-Q2AB-07:SETI
650,SR07C-DI-EBPM-05,x,SR07C-DI-EBPM-05:SA:X,
650,SR07C-DI-EBPM-05,y,SR07C-DI-EBPM-05:SA:Y,
650,SR07C-DI-EBPM-05,enabled,SR07C-DI-EBPM-05:CF:ENABLED_S,
650,SR07C-DI-EBPM-05,x_fofb_disabled,SR07C-PC-HBPM-05:FAST:DISABLED,
650,SR07C-DI-EBPM-05,x_sofb_disabled,SR07C-PC-HBPM-05:SLOW:DISABLED,
650,SR07C-DI-EBPM-05,y_fofb_disabled,SR07C-PC-VBPM-05:FAST:DISABLED,
650,SR07C-DI-EBPM-05,y_sofb_disabled,SR07C-PC-VBPM-05:SLOW:DISABLED,
653,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
656,SR07A-PC-S2B-06,b2,SR07A-PC-S2B-06:I,SR07A-PC-S2B-06:SETI
656,SR07A-PC-HSTR-06,b0,SR07A-PC-HSTR-06:I,SR07A-PC-HSTR-06:SETI
656,SR07A-PC-HSTR-06,h_fofb_disabled,SR07A-PC-HSTR-06:FAST:DISABLED,
656,SR07A-PC-HSTR-06,h_sofb_disabled,SR07A-PC-HSTR-06:SLOW:DISABLED,
656,SR07A-PC-VSTR-06,a0,SR07A-PC-VSTR-06:I,SR07A-PC-VSTR-06:SETI
656,SR07A-PC-VSTR-06,v_fofb_disabled,SR07A-PC-VSTR-06:FAST:DISABLED,
656,SR07A-PC-VSTR-06,v_sofb_disabled,SR07A-PC-VSTR-06:SLOW:DISABLED,
659,SR07A-PC-Q3B-08,b1,SR07A-PC-Q3B-08:I,SR07A-PC-Q3B-08:SETI
